BLOQUE;Semanas;Tratamiento;Repetición;Peso (gs);Consumo Sem (gs);Consumo Acum. (gs);FCR   Semanal;FCR Acum.;GDP Semanal;GDP Lineal;% Mortalidad ;% Mortalidad  Acum;FCR AJ 2,5 KG;Ratio;FCR AJ 2 KG;FCR AJ 2,7 KG
A1;2,00;2,00;1,00;512,24;382,45;536,33;1,19;1,05;45,89;36,59;0,00;0,02;;;;
A9;2,00;2,00;2,00;516,80;393,20;541,20;1,19;1,05;47,14;36,91;0,00;0,00;;;;
A14;2,00;2,00;3,00;508,80;391,60;537,20;1,20;1,06;46,46;36,34;0,00;0,00;;;;
A19;2,00;2,00;4,00;526,12;403,67;550,20;1,19;1,05;48,65;37,58;0,00;0,02;;;;
B5;2,00;2,00;5,00;540,00;408,00;574,00;1,20;1,06;48,40;38,57;0,00;0,00;;;;
B8;2,00;2,00;6,00;534,40;403,20;551,20;1,17;1,03;49,26;38,17;0,00;0,00;;;;
B13;2,00;2,00;7,00;490,20;358,78;520,00;1,16;1,06;44,26;35,01;0,00;0,02;;;;
B19;2,00;2,00;8,00;530,83;409,58;545,00;1,19;1,03;49,25;37,92;0,00;0,02;;;;
A2;2,00;3,00;1,00;534,80;394,00;558,80;1,22;1,04;46,29;38,20;0,00;0,00;;;;
A6;2,00;3,00;2,00;535,60;395,20;553,60;1,20;1,03;47,14;38,26;0,00;0,00;;;;
A11;2,00;3,00;3,00;538,78;406,94;561,22;1,23;1,04;47,35;38,48;0,00;0,02;;;;
A17;2,00;3,00;4,00;552,94;415,42;573,78;1,21;1,04;49,02;39,50;0,02;0,04;;;;
B9;2,00;3,00;5,00;525,20;380,00;537,60;1,17;1,02;46,46;37,51;0,00;0,00;;;;
B14;2,00;3,00;6,00;545,00;406,67;571,67;1,22;1,05;47,71;38,93;0,00;0,04;;;;
B20;2,00;3,00;7,00;558,40;424,80;584,40;1,22;1,05;49,77;39,89;0,00;0,00;;;;
A5;2,00;4,00;1,00;502,80;375,20;520,80;1,20;1,04;44,74;35,91;0,00;0,00;;;;
A8;2,00;4,00;2,00;512,40;374,80;520,00;1,14;1,01;46,80;36,60;0,00;0,00;;;;
A15;2,00;4,00;3,00;520,80;394,80;538,80;1,19;1,03;47,26;37,20;0,00;0,00;;;;
A20;2,00;4,00;4,00;519,60;398,00;532,40;1,17;1,02;48,69;37,11;0,00;0,00;;;;
B4;2,00;4,00;5,00;523,42;389,17;528,37;1,15;1,01;48,49;37,39;0,04;0,04;;;;
B10;2,00;4,00;6,00;511,20;362,00;519,60;1,13;1,02;45,83;36,51;0,00;0,00;;;;
B12;2,00;4,00;7,00;527,84;387,76;532,96;1,14;1,01;48,49;37,70;0,02;0,02;;;;
B18;2,00;4,00;8,00;531,25;396,67;563,61;1,16;1,06;48,89;37,95;0,02;0,04;;;;
A4;2,00;5,00;1,00;555,51;410,20;571,43;1,18;1,03;49,55;39,68;0,00;0,02;;;;
A7;2,00;5,00;2,00;544,08;399,18;549,98;1,17;1,01;48,75;38,86;0,02;0,02;;;;
A12;2,00;5,00;3,00;553,60;409,20;564,40;1,19;1,02;49,14;39,54;0,00;0,00;;;;
A18;2,00;5,00;4,00;556,22;409,60;557,05;1,14;1,00;51,45;39,73;0,02;0,02;;;;
B1;2,00;5,00;5,00;546,53;400,41;553,06;1,17;1,01;48,90;39,04;0,00;0,02;;;;
B6;2,00;5,00;6,00;554,51;397,87;547,46;1,15;0,99;49,39;39,61;0,02;0,06;;;;
B15;2,00;5,00;7,00;551,60;408,80;560,80;1,18;1,02;49,60;39,40;0,00;0,00;;;;
B16;2,00;5,00;8,00;529,60;390,40;544,00;1,16;1,03;48,00;37,83;0,00;0,00;;;;
C1;2,00;7,00;1,00;538,78;419,18;584,49;1,27;1,08;47,10;38,48;0,00;0,02;;;;
C9;2,00;7,00;2,00;548,51;419,18;577,18;1,22;1,05;49,04;39,18;0,02;0,02;;;;
C13;2,00;7,00;3,00;551,70;423,60;581,25;1,22;1,05;49,40;39,41;0,02;0,02;;;;
C16;2,00;7,00;4,00;565,60;432,40;599,60;1,24;1,06;49,89;40,40;0,00;0,00;;;;
D3;2,00;7,00;5,00;546,12;421,22;580,82;1,25;1,06;48,16;39,01;0,00;0,00;;;;
D7;2,00;7,00;6,00;543,67;416,33;578,37;1,24;1,06;47,81;38,83;0,00;0,00;;;;
D12;2,00;7,00;7,00;562,00;428,00;596,80;1,24;1,06;49,14;40,14;0,00;0,00;;;;
C2;2,00;8,00;1,00;548,75;413,75;566,67;1,21;1,03;48,77;39,20;0,00;0,02;;;;
C8;2,00;8,00;2,00;517,14;313,47;466,53;0,96;0,90;46,73;36,94;0,00;0,02;;;;
C15;2,00;8,00;3,00;522,50;397,50;547,08;1,21;1,05;46,91;37,32;0,00;0,04;;;;
C17;2,00;8,00;4,00;529,39;404,90;555,92;1,20;1,05;48,01;37,81;0,00;0,02;;;;
D1;2,00;8,00;5,00;543,60;413,60;566,80;1,21;1,04;48,97;38,83;0,00;0,00;;;;
D8;2,00;8,00;6,00;518,88;384,40;528,32;1,15;1,02;47,57;37,06;0,02;0,02;;;;
D13;2,00;8,00;7,00;515,10;381,63;526,53;1,16;1,02;46,88;36,79;0,00;0,00;;;;
D18;2,00;8,00;8,00;502,00;372,65;522,25;1,17;1,04;45,31;35,86;0,02;0,02;;;;
C4;2,00;9,00;1,00;534,00;400,80;553,20;1,21;1,04;47,31;38,14;0,00;0,00;;;;
C6;2,00;9,00;2,00;536,00;406,80;560,40;1,23;1,05;47,20;38,29;0,00;0,00;;;;
C14;2,00;9,00;3,00;546,40;405,60;576,40;1,22;1,05;47,49;39,03;0,00;0,00;;;;
C18;2,00;9,00;4,00;554,29;403,67;566,87;1,19;1,02;48,44;39,59;0,02;0,02;;;;
D5;2,00;9,00;5,00;560,82;411,84;563,27;1,21;1,00;48,69;40,06;0,00;0,02;;;;
D19;2,00;9,00;6,00;546,80;407,60;569,20;1,22;1,04;47,66;39,06;0,00;0,00;;;;
C3;2,00;10,00;1,00;523,60;373,60;523,01;1,13;1,00;47,41;37,40;0,02;0,02;;;;
C7;2,00;10,00;2,00;508,00;366,00;520,80;1,13;1,03;46,34;36,29;0,00;0,00;;;;
C11;2,00;10,00;3,00;536,80;401,20;550,00;1,18;1,02;48,57;38,34;0,00;0,00;;;;
C20;2,00;10,00;4,00;497,60;385,60;532,00;1,24;1,07;44,34;35,54;0,00;0,00;;;;
D4;2,00;10,00;5,00;523,88;380,82;524,82;1,15;1,00;47,24;37,42;0,02;0,02;;;;
D6;2,00;10,00;6,00;517,96;375,10;528,98;1,15;1,02;46,59;37,00;0,00;0,02;;;;
D11;2,00;10,00;7,00;533,73;397,25;542,35;1,17;1,02;48,35;38,12;0,00;0,00;;;;
D17;2,00;10,00;8,00;514,80;371,20;517,60;1,16;1,01;45,60;36,77;0,00;0,00;;;;
C5;2,00;11,00;1,00;571,09;419,13;576,68;1,18;1,01;50,77;40,79;0,06;0,08;;;;
C10;2,00;11,00;2,00;542,40;404,00;554,40;1,19;1,02;48,69;38,74;0,00;0,00;;;;
C12;2,00;11,00;3,00;534,80;395,60;545,60;1,18;1,02;47,89;38,20;0,00;0,00;;;;
C19;2,00;11,00;4,00;566,40;413,60;578,40;1,18;1,02;50,29;40,46;0,00;0,00;;;;
